Title,Link,Excerpt,Content
Nepra approves Rs2.83 per unit hike in FCA for May power bills,https://www.dawn.com/news/1832270/nepra-approves-rs283-per-unit-hike-in-fca-for-may-power-bills,The increase applies to units billed in the month of March.,"The National Electric Power Regulatory Authority (Nepra) on Wednesday authorised ex-Wapda distribution companies (XWDiscos) to levy a Rs2.83 per unit charge in consumers’ electricity bills for May as part of fuel cost adjustment (FCA) charges. Nepra said the FCA pertains to the month of March. According to anotificationissued by Nepra, a copy of which is available withDawn.com, the new adjustment “shall be applicable to all the consumer categories except Electric Vehicle Charging Stations (EVCS) and lifeline consumers”. The notification added that this adjustment would be shown in consumers’ bills based on units billed in March. Last month, the government hadsought clearancefrom Nepra to extract about Rs23 billion additional in FCA  from consumers for electricity consumed in March despite 79 per cent of power generation coming from cheaper local fuels. The Central Power Purchasing Agency (CPPA) — a subsidiary of the Power Division — had demanded Rs2.94 per unit additional fuel cost to recover from consumers through May bills. The proposed additional FCA was almost 46pc higher than the pre-fixed fuel cost of Rs6.44 per unit already charged to consumers in March. This raised questions about the power sector bureaucracy’s capabilities to forecast fuel costs even for six to seven months. In recent months, the additional FCAs have ranged between 50 and 115pc higher than the pre-determined fuel costs notified at the start of the current fiscal year. This FCA was on top of about a 26pc increase in the annual base tariff and another 10pc hike under the quarterly tariff adjustment currently in place and being charged to consumers at Rs2.75 per unit. As a result, consumers continue to pay excessive bills despite lower consumption patterns. Nepra had accepted the request for a public hearing on April 26. The higher proposed FCA for March is apparently mainly due to higher domestic coal and gas prices, although the use of imported fuels like coal, diesel and furnace oil remained zero. LNG was relatively cheaper, and the exchange rate remained stable. In a petition, the CPPA, acting as commercial agent of Discos, demanded an additional FCA of Rs2.94 per unit in the May bills for electricity consumed in March. It claimed that the reference fuel cost for March was Rs6.44 per unit, but the actual fuel cost rose to Rs9.38 per unit. The average fuel cost in February also stood at about Rs9.42 per unit. It said about 8,023-gigawatt-hour (GWh) of electricity was generated at an estimated fuel expenditure of Rs66.7bn (Rs8.3 per unit) in March, of which 7,756 GWh energy was delivered to Discos at the cost of Rs72.67bn (at Rs9.38 per unit). The data showed declining consumption trends. The consumption in March was also 8.3pc lower than the same month (8,459Gwh) last year. The Rs2.94 per unit FCA for March sought this year was more than double the Rs1.17 per unit FCA of the same month last year. In the April 26 hearing, Nepra hadcriticisedthe power companies for inefficiencies and the use of expensive power plants despite the availability of cheaper sources but had hinted at allowing them to charge another Rs22.8bn to consumers in the billing month of May."
"Sindh, Punjab bar councils announce lawyers’ strikes on May 9 after Lahore police clashes",https://www.dawn.com/news/1832241/sindh-punjab-bar-councils-announce-lawyers-strikes-on-may-9-after-lahore-police-clashes,Say lawyers to boycott court proceedings; PBC says protest to be marked with rallies and demonstrations.,"The Punjab Bar Council (PBC) and Sindh Bar Council (SBC) on Wednesday announced a strike by all lawyers and bar associations in the provinces for May 9 after clashes with the Lahore police. Lahore’s GPO Chowk became a battleground earlier today between riot police and lawyers after the latter staged a protest rally and attempted to enter the Lahore High Court (LHC). The lawyers’ attempts to gain entry into the high court were repelled by police, who baton-charged, fired tear gas at and used water cannons to disperse them. View this post on Instagram  Dawn.comcorrespondent Rana Bilal, present at the scene, reported that violence erupted as lawyers, including members from the Lahore High Court Bar Association (LHCBA), demanded the dismissal of a terror case filed against fellow lawyers, and protested against the shifting of a court to a different location. The correspondent said that dozens of lawyers were arrested and wounded in police action, while some members of the press, law enforcement agencies and bystanders were also affected. Negotiations between the police and lawyers failed to resolve the impasse, the correspondent on the ground added. In a press release issued after a press conference held by the PBC, LHCBA and Lahore Bar Association (LBA), PBC Vice Chairman Kamran Bashir Mughal and Pir Imran Akram Bodla, chairman of the PBC executive committee announced a strike by all lawyers and bar associations in the province tomorrow (Thursday) against the LHC chief justice and police’s “thuggery”. They said rallies would be taken out against the treatment meted out to lawyers today and a protest would be registered. They said that the strike would be strictly ensured. They called for the Punjab police chief and chief minister to “come to their senses” and immediately release the detained lawyer. They also demanded that the Punjab police chief, Lahore’s top cop and deputy inspector general of police be immediately changed. The press release reiterated that lawyers would not appear in court on Thursday and would mark their protest through rallies and demonstrations. Separately, the SBC said it was in agreement with the PBC and also announced a strike and boycott of court proceedings for Thursday with instructions for advocates to not attend proceedings. The SBC demanded the federal and Punjab governments to take immediate notice of the matter, address the involvement of the Lahore police in the “shameful and inhuman” treatment of lawyers and take action against the responsible police officials. The council condemned the “excessive and unwarranted use of police force” against lawyers and termed it a “shameful act” that was a grave violation of the force’s duty and discipline. The Karachi Bar Association also announced a boycott and sent a letter to the sessions judges of the city’s districts to suspend judicial work and issue the same directions to their subordinate courts. Speaking toDawn Newsearlier, LHCBA President Asad Butt had said that the lawyers’ protest would continue until their demands were met. “The police have inflicted cruelty by using force against a peaceful march,” Butt said, noting that dozens of lawyers have been injured by tear gas shelling. He demanded that the notification of the division of courts be withdrawn immediately and that cases filed against lawyers should be dismissed. According to a previous PBC press release, dated May 7, the LHCBA’s joint action committee — comprising a dozen members — had met on Tuesday where it had decided to “welcome” the protest rally announced by the LBA. The PBC had demanded that the notification of “dividing the lawyers under the guise of the unjust division of Model Town courts” be withdrawn and that terror cases against lawyers be squashed. It had further announced a complete strike in all bar associations across Punjab. The Supreme Court Bar Association (SCBA) strongly condemned the “police high-handedness against the peacefully protesting lawyers” and urged Chief Justice of Pakistan (CJP) Qazi Faez Isa to take suo motu notice of the incident. In a statement, SCBA President Shahzad Shaukat, Secretary Syed Ali Imran and the bar’s executive committee “expressed solidarity with the lawyers and their just stance”. “Numerous lawyers have reportedly sustained serious injuries and many have been unjustly detained,” the statement highlighted. It demanded immediate medical attention for the wounded and the prompt release of the arrested lawyers. The SCBA lawyers also strongly condemned and criticised the “inept handling of this very sensitive matter” by LHC Chief Justice Malik Shahzad Ahmad Khan, who, they said, “failed to resolve the issue despite repeated appeals from the Bar”. They highlighted that the lawyers’ arrests were a “clear infringement of the principles of democracy, freedom of expression, and the right to dissent”. “If the police brutality continues unchecked and the lawyers’ just & fair demands remain unmet, this protest will escalate into a nationwide movement, with SCBA spearheading the call for nationwide action,” the Bar’s statement said. Separately, PBC Vice Chairman Riazat Ali Sahar “vehemently condemned the reprehensible police brutality inflicted upon” the lawyers. In a press release, a copy of which is available withDawn.com, Sahar said that lawyers across the country would “stage a complete strike” tomorrow as well as “convene protest meetings, marches and rallies in their respective bar rooms”. Detailing the reasons for the protest, he said the lawyers were “engaged in a peaceful protest against the notification to transfer cases to the ‘Model Town kutchery’ and the unjustified registration of terrorism cases against their fraternity”. Criticising “excessive and unwarranted use of police force against lawyers”, the PBC vice chairman demanded “immediate and decisive action from both the federal and Punjab governments, along with senior police officers, to address the involvement of police officials in this shameful and inhuman act”. He further expressed disappointment towards the LHC chief justice, stating that the failure to resolve the longstanding issue through peaceful negotiation contributed to the situation. Earlier, footage broadcast on television showed a large number of riot personnel and lawyers clashing, with what appeared to be tear gas blanketing GPO Chowk. View this post on Instagram  In apost on Xat around 12:30pm, the Lahore Traffic Police said that a diversion had been placed at High Court Chowk and Istanbul Chowk towards GPO Chowk. It further added that the Cantt deputy superintendent of police was present at the scene along with “additional contingents”.  Speaking toDawn News, Lahore bureau chief Muhammad Bilal said that all gates and roads to the LHC have been shut so that the lawyers could not enter the court. He noted that since the LHCBA had announced the rally beforehand, there was already a heavy police contingent present at the scene with anti-riot forces and water cannons. “While the rally was making its way to the court, it was peaceful. The police began taking action once the lawyers tried to make their way into the court,” the bureau chief said, describing the situation as “pretty tense”. Meanwhile, when asked why the police resorted to shelling at the lawyers, a senior superintendent of police said the protesters had first pelted stones at the police and tried to engage them in a fight. View this post on Instagram  Punjab Chief Minister Maryam Nawaz said she had directed Inspector General Dr Usman Anwar to “refrain from using force against the lawyers”. “Lawyers must also resolve their matters with LHC amicably. For the safety of the citizens of Lahore, confrontation should be avoided,” she said in a post on X. "
"Please, please ceasefire now: WHO",https://www.dawn.com/live/gaza-invasion,Warns outbreak of diseases could become a “death sentence” in Gaza.," Israel’s deadly siege of Gaza Strip enters seventh month after Hamas’Oct 7 attack UN says half of Gaza population experiencing“catastrophic” hungeras threat of famine looms 72pc of enclave’s residential buildingsdestroyed, reconstruction to cost up to $40bn IsraelseizesRafah crossing amid global outcry Alarm in Israelat possible ICC legal action over Gaza atrocities"
PTI leadership misguided Imran on all issues: Sher Afzal Marwat,https://www.dawn.com/news/1832266/pti-leadership-misguided-imran-on-all-issues-sher-afzal-marwat,Says he will return to party on Imran's release; PTI's Intazar Hussain Panjutha says all decisions post-Imran’s arrest came from party founder himself.,"PTI leader Sher Afzal Khan Marwat alleged on Wednesday that party leaders Omar Ayub Khan and Senator Shibli Faraz misguided former prime minister Imran Khan on all issues. “Imran has been misguided on every matter, there are many such matters which I will bring to light once they (Faraz and Ayub) give their statements,” Marwat said while speaking to the media outside Adiala Jail. Last week, Marwat wasannouncedas the PTI candidate for the chairman of the Public Accounts Comm­ittee (PAC) after a meeting with Imran. However, a party insider toldDawnthat the PTI’s political committee had met in Islamabad on Friday night under its chairman to discuss thenominationwith a majority voting to replace Marwat with Jhang MNA Sheikh Waqas Akram. “This is a conspiracy against me by the PTI establishment,” a bitter and angry-sounding Marwat had said, confirming the report, when approached for comment over the phone. Marwat came to address the media outside Adiala Jail today as MNA Ali Muhammad Khan was concluding his speech. Questioned about the dispute over the PAC’s chairmanship, Ali Muhammad said Marwat was Imran’s follower and he and the party would accept whoever was decided as the nominee by the PTI founder. Ali Muhammad left the scene as Marwat began to address the media. He said that he had himself requested Ali Muhammad to leave since “I might utter some controversial things so don’t stand beside me.” Marwat said he was not allowed to meet Imran in jail a day ago or today, alleging that “Omar Ayub and Shibli Faraz did not allow my meeting to take place.” He alleged that Ayub and Faraz had told Imran that the PML-N was not agreeable to Marwat’s appointment as the PAC chairman and that the position would go to someone else. “I found out two days ago that Shibli Faraz told Imran that the Saudi ambassador also raised reservations about my appointment and said relations would not be good in such a case,” Marwat added, saying that it was a “major thing” if the Saudi government allegedly had an issue with his appointment. “I will not create a problem for Khansahibso he should consider me out of the [PAC chairmanship] race. I don’t want chairmanship of a committee where the Saudi government has a demand to not make someone [the chairman].” Marwat claimed that he was responsible for reviving the party when it was a “dead horse and I went to the people from Khyber Pakhtunkhwa to Sindh at a time when all these [acting leaders] were hiding in their burrows”. He added that he had discharged the duties given to him by Imran. Marwat alleged he was “targeted” by the party leadership immediately after the general elections, adding that he had also informed Imran about the matter. He said his disrespect was unacceptable to him at any cost. Divulging details of the matter of the PAC chairmanship, he said the issue was “finalised” when Barrister Gohar Ali Khan had announced him as the party nominee for the position but “they called for voting in the political committee”, adding that Imran had made him a member of the political committee despite Ayub’s reservations. Marwat said after voting was carried out, his opponents visited Imran on Tuesday and informed him about the results of the vote by the political committee. He also said that his brother Khalid Latif Khan wasde-notifiedas special assistant to the chief minister for science, technology, and information technology instead of being given the chance to resign. “They alleged that I want to take Imran’s position. If I wanted to take someone’s position then I would have done flattery as they do. I am not one to flatter and am Imran’s soldier.” He alleged that Faraz had argued for the Senate opposition leader position over Barrister Ali Zafar to secure relief in legal cases. Marwat alleged that Faraz and Ayub were appointing people of their choosing to PTI committees to secure their positions. Marwat announced that he would not work alongside the PTI leadership to mark his protest. “I am going today and I will come to this jail when Imran calls me back, and I will come for protest when Imran gives me the responsibility of the protest,” he said, adding that he did not accept the party leadership. He added that he would resign from the National Assembly without any reservations if Imran signalled him to do so. Later, he said on X: “I have spoken my heart today. I would prefer to relax and stay away from media for a couple of days. It is therefore expected that media would respect my request.”  He doubled down on his allegation regarding Faraz being behind the move to strip him as the party nominee for the PAC chairman and reiterated that he was withdrawing from the contest.  Meanwhile, PTI lawyer and focal person  Intazar Hussain Panjutha responded to Marwat without naming him and said that the decisions taken by the party post-Imran’s arrest came from the PTI founder himself. “Everyone stayed back according to Imran’s instructions and everyone stayed hidden and did their work,” he said, adding that a result of that was the PTI’s success in the general elections. “PTI’s success was that this leadership — Shibli Faraz and Omar Ayub — kept the party united and kept the operations running day and night. “They were instructed by Imran that all party members should come out but these two should come out at the end,” he said “To come out or stay hidden was done on Imran’s directions and since August 5 when Khan was arrested till today, every party decision was taken by Imran himself,” Panjutha said. Replying to Marwat’s allegations of Imran being misguided, Panjutha said he was not the only person who met Imran in prison. “Does his family not meet him? Do only Shoaib Shaheen, Shibli Faraz and I meet him?” he asked. Panjutha said that the “May 9 conspiracy” was carried out to destroy the party however the “new conspiracy” was to destroy the party from within through unrest. “I want to clarify one thing, Imran Khan is still running the party […] We have never violated the discipline. Our primary mission is Imran’s party,” Panjutha said. "
Afghanistan rejects claim of its national being involved in Bisham attack,https://www.dawn.com/news/1832259/afghanistan-rejects-claim-of-its-national-being-involved-in-bisham-attack,Enayatullah Khwarazmi terms DG ISPR's claims as “irresponsible and far from reality”.,"The Afghan defence ministry on Wednesday rejected Pakistan’s claim that the plot to kill five Chinese engineers in theBisham attackwas hatched in Afghanistan. Thestatementcomes a day after Inter Services Public Relations (ISPR) Director General (DG) Maj-Gen Ahmed Sharifsaidthat the planning for the attack was done in Afghanistan and the suicide bomber was also its national. “Terrorists and their facilitators were also being controlled from Afghanistan and the suicide bomber was also an Afghan national,” the ISPR DG had stated. He had also listedother terror incidents, including by the Tehreek-i-Taliban Pakistan (TTP), that he said continued from Afghan soil despite repeated complaints to the neighbour’s rulers.  Five Chinese engineers and their Pakistani driver werekilledin the suicide bombing on March 26 as their bus was attacked in the Bisham city of Khyber Pakhtunkhwa’s Shangla district. They were travelling between Islamabad and a hydroelectric dam construction site in KP’s Dasu. The attack had prompted China todemanda thorough probe into the deadly blast and security for its citizens. In response, Islamabad had announced a swift probe to hold the “perpetrators and accomplices” accountable. After ajoint investigation teamwas formed to probe the incident, action wasorderedagainst five senior police officials. No group has claimed responsibility for the deadly attack on Chinese nationals. In astatementissued today, Afghan defence ministry spokesperson Enayatullah Khwarazmi termed the claims “irresponsible and far from the reality”. He said blaming Afghanistan for such incidents was a “failed attempt to divert attention from the truth”, adding that the killing of Chinese citizens in an area which was “under tight security cover of the Pakistani army shows the weakness of the Pakistani security agencies”. “The Islamic Emirate has assured China on this matter and the country has also understood the fact that Afghans are not involved in such issues,” the spokesman said. He claimed that members of the militant Islamic State group were “entering Afghanistan from Pakistan”. “We have much evidence of Daesh (IS) who came to Afghanistan from the territory of Pakistan, and Pakistan’s territory being used against us for which Pakistan should answer,” Khwarazmi said. He added that Kabul considered the stability and security of Pakistan to be in the interest of Afghanistan and the region and believed in the “brotherhood and good relations between the people of the two nations. Some of the experts believe that public accusations by Pakistani and Afghan officials will further complicate the situation. Former Pakistani Ambassador Ayaz Wazir said a public blame game would increase mistrust and further deteriorate relations. “Both governments should hold a wide range of talks and explore ways for solutions to problems. Pakistan should clearly convey its concerns over the TTP presence in Afghanistan and also pay attention to the concerns of the other side,” Wazir toldDawn.com. Wazir has served as the Pakistan consul general in Afghanistan’s northern city of Mazar-i-Sharif and was part of a negotiation team between the Afghan Taliban and then-opposition leader Ahmad Shah Masoud in the 1990s. He further said that Pakistan should not blame the Afghan government for incidents in Pakistan and focus on security problems. The tit-for-tat verbal response between the two countries’ officials shows the growing mistrust between the two countries despite several channels of communication, including a joint border coordination committee to review security issues."
IHC approves Bushra Bibi’s petition seeking transfer to Adiala Jail,https://www.dawn.com/news/1832233/ihc-approves-bushra-bibis-petition-seeking-transfer-to-adiala-jail,Bushra is being held in her Banigala residence; Justice Miangul Hassan Aurangzeb pronounced the reserved verdict.,"The Islamabad High Court (IHC) on Wednesday approved the request of former premier Imran Khan’s wife Bushra Bibi seeking her transfer from their Banigala residence— which had been declared a sub-jail — to Adiala Jail, where her husband is currently incarcerated. Justice Miangul Hassan Aurangzeb pronounced the verdict, which had beenreservedlast week. Although Bushra Bibi’s petition had been disposed of last month due to her lawyers failing to appear before the court, a plea was filed the same day seeking its restoration. “She has already been shifted to a female ward of the jail on her own request,” PTI lawyer Intazar Hussain Panjutha toldAFP. The former first lady was taken into custody on January 31 after an Islamabad accountability courtsentencedher and Imran to 14 years in jail in the Toshakhana reference. While the IHC had on April 1suspendedtheir sentences in the Toshakhana reference, she remains in custody in theIddatcase. Imran also remains incarcerated in other cases. Following the Toshakhana verdict, Bushra had arrived at Adiala Jail, where the National Accountability Bureau’s team was already present, to surrender to the authorities. Subsequently, she was taken into custody by the anti-graft watchdog. How­ever, she was moved to her Banigala home after it was declared a sub-jail in a late-night notification. Her shifting to the residence has beenunder discussionfor months as she and her husbanddeniedsubmitting any application to declare the residence a sub-jail. Almost a week after her arrest, Bushra Bibi hadchallengedthe residence’s status as a sub-jail, urging the IHC to let her complete her 14-year sentence in Adiala Jail. In a subsequent hearing, the Adiala Jail administration hadopposed moving her backto the prison, claiming that overcrowding posed security threats for the former first lady. In March, Justice Miangul Hassan Aurangzeb hadaskedif the authorities sought permission from Imran before converting his Banigala residence into a sub-jail."
3 policemen killed in bomb attack in northeastern Afghanistan,https://www.dawn.com/news/1832273/3-policemen-killed-in-bomb-attack-in-northeastern-afghanistan,The targeted convoy was on its way to destroy illegal poppy plants.,"Three policemen were killed and five were wounded on Wednesday when a sticky bomb was detonated next to a security convoy tasked with clearing illegal poppy crops in northeastern Afghanistan, the interior ministry said. The improvised explosive device (IED) was attached to a motorcycle which targeted a convoy of police vehicles in Faizabad, the capital of mountainous Badakhshan province, around 11am local time. “The bomb exploded while the convoy of police forces was on its way to destroy poppy cultivation,” Taliban Interior Ministry spokesman Abdul Mateen Qani posted on X.  The explosion comes days after Taliban security officials and residentsclashedover the violent clearance of poppy crops in two Badakhshan districts, leaving two dead and sparking rare protests. Afghanistan was the largest producer of opium before poppy cultivation wasbanned in a decreeby the Taliban supreme leader in April 2022. Farmers have been encouraged to plant different crops, but none compete with the financial draw of the poppy, leading some to continue discreetly cultivating small plots. There was no immediate claim of responsibility for the attack. AnAFPjournalist saw Taliban authorities searching homes and detaining dozens of people near the scene. Images posted on social media, but not immediately verified byAFP, showed a charred motorcycle and a police truck riddled with holes. Eyewitness Aminullah, who did not want to give his full name, said he heard a huge explosion and saw that a convoy of Taliban authorities had been hit.
“Immediately the security forces cleared the area of people,” he toldAFP. The number of bombings and suicide attacks in Afghanistan has fallen since the Taliban ended their insurgency afteroustingthe US-backed government and returning to power in August 2021. However, multiple armed groups, including the militant Islamic State, remain a threat, with regular reports of explosions that go unconfirmed by authorities."
AstraZeneca withdraws Covid vaccine as demand dives,https://www.dawn.com/news/1832257/astrazeneca-withdraws-covid-vaccine-as-demand-dives,"AstraZeneca has admitted that its Covishield vaccine could cause rare side effects, including blood clots and low platelet count.","Anglo-Swedish drugmaker AstraZeneca on Wednesday said it was withdrawing Covid vaccine Vaxzevria, one of the first produced in the deadly pandemic, citing “commercial reasons” following a slump in demand. “As multiple, variant Covid-19 vaccines have since been developed there is a surplus of available updated vaccines. This has led to a decline in demand for Vaxzevria, which is no longer being manufactured or supplied,” an AstraZeneca spokesperson added in a statement. “We will now work with regulators and our partners to align on a clear path forward to conclude this chapter and significant contribution to the Covid-19 pandemic.” AstraZeneca rapidly developed the successful Covid-19 jab during the coronavirus pandemic which erupted in the first half of 2020. Vaxzevria, developed alongside Oxford University, was at first offered at cost but Astra decided in late 2021 to sell it for profit. But the world pivoted towards mRNA vaccines, particularly the one produced by US drugs giant Pfizer and German peer BioNTech, after rare blood-clot problems with Astra’s jab increased public hesitancy about taking it. Last week, AstraZenecaadmittedthat its Covishield vaccine could cause rare side effects, including blood clots and low platelet count.  Sales collapsed further as global Covid restrictions were fully lifted worldwide and the world emerged from the global health crisis. The AstraZeneca spokesperson said the group had begun the process of taking it off the market in the Europe, Middle East and Africa region. The company will work with other regulators globally to start market authorisation withdrawals for the Vaxzevria “where no future commercial demand for the vaccine is expected”.  The spokesperson said that, according to independent estimates, “over 6.5 million lives were saved in the first year of use alone” and more than three billion doses were supplied globally. “We are incredibly proud of the role Vaxzevria played in ending the global pandemic,” the spokesperson said. “Our efforts have been recognised by governments around the world and are widely regarded as being a critical component of ending the global pandemic.”"
PM Shehbaz orders formation of Pakistan Skill Company to train overseas Pakistanis,https://www.dawn.com/news/1832262/pm-shehbaz-orders-formation-of-pakistan-skill-company-to-train-overseas-pakistanis,Calls for a database to catalogue the Pakistani labour force.,"Prime Minister Shehbaz Sharif on Wednesday ordered the establishment the Pakistan Skill Company and Pakistan Skill Development Fund to unify technical and vocational education countrywide and provide better employment to the country’s workers abroad. The prime minister, chairing a high-level meeting reviewing the matters of the Ministry of Overseas Pakistanis and Human Resource Development and National Vocational and Technical Training Commission (NAVTTC), decided to introduce reforms within both organisations. Shehbaz also ordered the immediate establishment of the Pakistan Skill Development Fund, according to a federal government post on X. The premier said NAVTTC should be further enhanced to provide world-class technical and vocational training to the young workforce abroad. He added that “globally renowned and international certifications should be ensured in all fields”.  The prime minister emphasised the importance of greater cooperation between the federal institutions, adding that the “technical training plan should be implemented in line with international standards”. Similarly, he stressed collaboration between the centre and provinces to elevate the quality of Pakistan’s technical manpower and human resource development. He also called for a coordinated and organised database of Pakistani workers in collaboration with Nadra, NAVTTC and provincial institutions, and the establishment of an integrated system to regulate manpower equipped with world-class professional technical skills. Stressing the need for implementing the technical and vocational training plans, the prime minister also ordered reforms to the licensing regime of companies employing skilled Pakistanis abroad. PM Shehbaz said individuals and companies involved in defrauding the people and inflicting financial losses should be identified. He instructed authorities to ensure meritocracy and transparency in the posting of community welfare attaches in Pakistani missions abroad. The prime minister was briefed about the steps taken by NAVTTC regarding the vocational and technical training of the workforce in Pakistan. He was told that NAVTTC would provide vocational and technical training to 60,000 people in 2024, while the figure would rise to 0.6 million in the next three years following the reforms. The meeting’s participants were told that the exchange of information about employment opportunities and required skills from foreign countries was being ensured and that data on manpower consumption was also being obtained from local industries. They were also told that NAVTTC had made the certification of male and female students from internationally renowned institutes mandatory to maintain international vocational and technical training standards."
India arrests four accused of recruiting for Russian army,https://www.dawn.com/news/1832247/india-arrests-four-accused-of-recruiting-for-russian-army,"“Investigation is continuing against other accused persons who are part of this international network of human traffickers,” CBI says.","Indian authorities have arrested four people accused of “trafficking” Indian citizens to fight for the Russian army in Ukraine. Two years since Russia’s invasionbegan, tens of thousands of its soldiers have been killed in Ukraine and Moscow has been on a global quest for more troops. At least two Indian soldiers have beenkilledin the conflict, with several recruits tellingAFPthey were shipped to the frontlines under false pretenses. A statement published by the Central Bureau of Investigation (CBI) late on Tuesday said four men had been arrested, including one who had worked in Russia as a translator for a network facilitating the recruitment of Indian soldiers. “Investigation is continuing against other accused persons who are part of this international network of human traffickers,” the statement added. The arrests come two months after the investigators conducted raids across 13 locations in India and detained several people for questioning. The CBI said then that it had found at least 35 instances of Indians being sent to Russia. India’s foreign ministry had earlier said it was working tosecure dischargesfor around 20 Indian nationals in the Russian army. Several Indian recruits toldAFPin February that they were lured into joining up by promises of high salaries and Russian passports before being shipped to the frontlines. The soldiers said they had been promised non-combatant roles but were trained to use Kalashnikov assault rifles and other weapons before being sent to Ukraine. Russia’s army held off a much-hyped Ukrainian counter-offensive last year, and it has since made gains on the front lines as Kyiv struggles with ammunition and manpower shortages. India is a longstanding ally of Russia and has shied away from explicit condemnation of the invasion of Ukraine. Unemployment remains high in India despite rapid economic growth and huge numbers seek work abroad each year, including thousands who had sought employment in Israel after labour shortages sparked by its military campaign in Gaza."
